Test Case ID,Module,Title,Requirement ID,Priority,Suite Type,Preconditions,Test Data,Test Steps,Expected Result
FunctionalTestCase-REG-014,User Registration,E2E: Register with valid details login and verify profile information,"REQ-S5-REG-006, REQ-S5-LOGIN-002, REQ-S5-PROF-001, REQ-S5-PROF-003",P1,E2E,User not logged in unique email,"First name Test | Last name User | DOB 1990-05-15 | Street 123 Main Street | Postal 12345 | City New York | State NY | Country United States | Phone 5551234567 | unique email | Password Welcome@123","1. Register with valid data | 2. Verify redirect to login | 3. Login with new credentials | 4. Navigate to /account/profile | 5. Verify profile fields match registration data","Registration succeeds. Login with new credentials succeeds. Redirected to /account. Profile displays registered first name last name phone address details. Email shown and read-only."
FunctionalTestCase-LOGIN-001,User Login,Login form displays email password and Google sign-in,REQ-S5-LOGIN-001,P2,Smoke,User not logged in,,"1. Navigate to /auth/login | 2. Observe form","Email field password field Sign in with Google button and submit button displayed."
FunctionalTestCase-LOGIN-002,User Login,Successful login as customer redirects to account,"REQ-S5-LOGIN-002, REQ-BR-017",P1,Smoke,User not logged in,customer@practicesoftwaretesting.com / welcome01,"1. Navigate to /auth/login | 2. Enter customer credentials | 3. Submit","Login succeeds. Redirected to /account. Session active."
FunctionalTestCase-LOGIN-003,User Login,Successful login as admin redirects to admin dashboard,REQ-S5-LOGIN-002,P1,Smoke,User not logged in,admin@practicesoftwaretesting.com / welcome01,"1. Navigate to /auth/login | 2. Enter admin credentials | 3. Submit","Login succeeds. Redirected to /admin/dashboard."
FunctionalTestCase-LOGIN-004,User Login,Invalid credentials show error message,"REQ-S5-LOGIN-003, REQ-BR-017",P1,Regression,User not logged in,customer@ / wrongpassword,"1. Navigate to /auth/login | 2. Enter wrong password | 3. Submit","Error: Invalid email or password. User not authenticated."
FunctionalTestCase-LOGIN-005,User Login,Account locked after 3 consecutive failed attempts,"REQ-S5-LOGIN-004, REQ-BR-018",P1,Regression,User not logged in,customer2@practicesoftwaretesting.com,"1. Fail login 3 times with wrong password | 2. Try correct password on 4th attempt","Error: Account locked too many failed attempts. HTTP 423. Correct password rejected."
FunctionalTestCase-LOGIN-006,User Login,Admin account never locked after failed attempts,REQ-S5-LOGIN-005,P1,Regression,User not logged in,admin@practicesoftwaretesting.com,"1. Fail login 4+ times | 2. Login with correct password","Admin not locked. Login with correct password succeeds."
FunctionalTestCase-LOGIN-007,User Login,Disabled account cannot log in,REQ-S5-LOGIN-006,P1,Regression,Admin disabled test user account,Disabled user valid credentials,"1. Admin disables user | 2. Attempt login with valid credentials","Error: Account disabled. User not authenticated."
FunctionalTestCase-LOGIN-008,User Login,TOTP input displayed after valid credentials,REQ-S5-LOGIN-007,P1,Regression,Self-registered account with TOTP enabled,TOTP-enabled account credentials,"1. Login with valid email/password | 2. Observe next step","6-digit TOTP input field displayed. User not yet fully authenticated."
FunctionalTestCase-LOGIN-009,User Login,Successful login with valid TOTP code,REQ-S5-LOGIN-008,P1,Regression,TOTP-enabled account authenticator configured,Valid TOTP code,"1. Login with email/password | 2. Enter valid TOTP | 3. Submit","TOTP verified. User authenticated and redirected."
FunctionalTestCase-LOGIN-010,User Login,Invalid TOTP code shows error,"REQ-S5-LOGIN-009, REQ-BR-019",P1,Regression,TOTP-enabled account past email/password step,TOTP: 000000,"1. Login with email/password | 2. Enter invalid TOTP | 3. Submit","Error: Invalid TOTP. User not authenticated."
FunctionalTestCase-LOGIN-011,User Login,Google social login opens OAuth popup,REQ-S5-LOGIN-010,P1,Regression,User not logged in,,"1. Navigate to /auth/login | 2. Click Sign in with Google","Popup opens ~500x400px with Google OAuth screen."
FunctionalTestCase-LOGIN-012,User Login,Google social login succeeds and redirects,REQ-S5-LOGIN-010,P1,Regression,Valid Google account available,Google credentials,"1. Click Sign in with Google | 2. Complete OAuth","Popup closes. User logged in. Redirected to /account."
FunctionalTestCase-LOGIN-013,User Login,Login with empty email shows validation error,REQ-S5-LOGIN-001,P2,Regression,User on login page,Empty email,"1. Leave email empty enter password | 2. Submit","Validation error shown. User not authenticated."
FunctionalTestCase-LOGIN-014,User Login,Login with empty password shows validation error,REQ-S5-LOGIN-001,P2,Regression,User on login page,Empty password,"1. Enter email leave password empty | 2. Submit","Validation error shown. User not authenticated."
FunctionalTestCase-LOGIN-015,User Login,Login with non-existent email shows error,"REQ-S5-LOGIN-003, REQ-BR-017",P2,Regression,User not logged in,nonexistent_user@example.com,"1. Enter non-existent email and password | 2. Submit","Error: Invalid email or password."
FunctionalTestCase-LOGIN-016,User Login,E2E: Login and verify protected account access,"REQ-S5-LOGIN-002, REQ-RBAC-001",P1,E2E,User not logged in,customer@ / welcome01,"1. Access /account without login | 2. Login as customer | 3. Access profile favorites invoices","Unauthenticated /account blocked. After login all account pages accessible."
FunctionalTestCase-PUR-001,Products Purchase Journey,Product grid is displayed on home page,REQ-S5-PO-001,P2,Smoke,User on home page,,"1. Navigate to / | 2. Observe product grid","Grid of product cards displayed. Each shows image name and price."
FunctionalTestCase-PUR-002,Products Purchase Journey,Clicking product card navigates to product detail,REQ-S5-PO-002,P2,Smoke,Product overview displayed,,"1. Navigate to / | 2. Click product card","User navigated to product detail page."
FunctionalTestCase-PUR-003,Products Purchase Journey,Product detail page displays product information,REQ-S5-PD-001,P2,Regression,User on product detail page,,"1. Open product detail | 2. Observe info","Image name description price category badge brand badge displayed."
FunctionalTestCase-PUR-004,Products Purchase Journey,Add product to cart with success message,"REQ-S5-PD-008, REQ-BR-009",P1,Smoke,In-stock product on detail page,Quantity 1,"1. Open in-stock product | 2. Click Add to Cart","Message: Product added to shopping cart. Product added with quantity."
FunctionalTestCase-PUR-005,Products Purchase Journey,Out-of-stock product cannot be added to cart,"REQ-S5-PD-009, REQ-BR-001",P2,Regression,Out-of-stock product available,,"1. Open out-of-stock product | 2. Attempt Add to Cart","Out of stock shown. Add to Cart disabled."
FunctionalTestCase-PUR-006,Products Purchase Journey,Search products with valid query,"REQ-S5-PO-004, REQ-BR-005",P2,Regression,User on home page,Search: hammer,"1. Enter hammer | 2. Submit search","Matching products shown. Filters reset."
FunctionalTestCase-PUR-007,Products Purchase Journey,Filter products by category,REQ-S5-PO-005,P2,Regression,User on home page,Category checkbox,"1. Select category | 2. Observe grid","Only products from selected categories shown."
FunctionalTestCase-PUR-008,Products Purchase Journey,Sort products by price low to high,REQ-S5-PO-009,P3,Regression,User on home page,Sort: Price Low-High,"1. Select Price Low-High sort","Products ordered by ascending price."
FunctionalTestCase-PUR-009,Products Purchase Journey,Empty cart displays message,"REQ-S5-CC-CART-004, REQ-BR-007",P2,Regression,Cart empty,,"1. Navigate to /checkout with empty cart","Message: Your shopping cart is empty."
FunctionalTestCase-PUR-010,Products Purchase Journey,Cart review displays item details,REQ-S5-CC-CART-001,P1,Regression,Item in cart,,"1. Add product | 2. Go to /checkout","Table with Item Quantity Price Total Actions. Product details correct."
FunctionalTestCase-PUR-011,Products Purchase Journey,Update product quantity in cart,"REQ-S5-CC-CART-002, REQ-BR-008",P1,Regression,Item in cart,Quantity 2,"1. Change quantity to 2 | 2. Update","Message: Product quantity updated. Totals recalculated."
FunctionalTestCase-PUR-012,Products Purchase Journey,Remove product from cart,REQ-S5-CC-CART-003,P1,Regression,Item in cart,,"1. Delete cart item","Item removed. Total recalculated."
FunctionalTestCase-PUR-013,Products Purchase Journey,Rental item labeled in checkout cart,REQ-S5-RENT-004,P2,Regression,Rental in cart,,"1. Add rental product | 2. Go to /checkout","Item marked: This is a rental item."
FunctionalTestCase-PUR-014,Products Purchase Journey,Guest checkout displays login step,"REQ-S5-CC-SIGNIN-001, REQ-BR-020",P1,Regression,Guest with items in cart,,"1. Proceed from cart review","Login form shown with email and password fields."
FunctionalTestCase-PUR-015,Products Purchase Journey,Guest logs in during checkout,REQ-S5-CC-SIGNIN-004,P1,Regression,Guest with items in cart,customer@ / welcome01,"1. Proceed to login step | 2. Enter credentials | 3. Submit","Authenticated. Can proceed to billing address."
FunctionalTestCase-PUR-016,Products Purchase Journey,Logged-in user billing address is pre-filled,"REQ-S5-CC-SIGNIN-005, REQ-S5-CC-ADDR-004",P1,Regression,Logged in as customer,,"1. Checkout as logged-in user | 2. Observe address","Signed-in message shown. Address pre-filled from profile."
FunctionalTestCase-PUR-017,Products Purchase Journey,Billing address validation blocks empty fields,REQ-S5-CC-ADDR-002,P1,Regression,On billing address step,Empty required field,"1. Leave field empty | 2. Attempt Proceed","Invalid fields highlighted. Proceed blocked."
FunctionalTestCase-PUR-018,Products Purchase Journey,Proceed to payment with valid billing address,REQ-S5-CC-ADDR-003,P1,Regression,On billing address step,Valid address data,"1. Fill address | 2. Proceed","User advances to payment step."
FunctionalTestCase-PUR-019,Products Purchase Journey,Payment step displays all payment methods,REQ-S5-CC-PAY-001,P1,Regression,On payment step,,"1. Observe payment dropdown","Bank Transfer Cash on Delivery Credit Card Buy Now Pay Later Gift Card available."
FunctionalTestCase-PUR-020,Products Purchase Journey,Successful order with Cash on Delivery,"REQ-S5-CC-PAY-007, REQ-S5-CC-PAY-009",P1,Smoke,Items in cart at payment step,Payment: Cash on Delivery,"1. Select Cash on Delivery | 2. Confirm","Order confirmed with invoice number. Cart cleared."
FunctionalTestCase-PUR-021,Products Purchase Journey,Successful order with Credit Card,"REQ-S5-CC-PAY-003, REQ-S5-CC-PAY-009",P1,Regression,Items in cart at payment step,"Card 4111-1111-1111-1111 | 12/2030 | CVV 123 | John Doe","1. Select Credit Card | 2. Enter valid details | 3. Confirm","Order placed. Invoice number shown. Cart cleared."
FunctionalTestCase-PUR-022,Products Purchase Journey,Credit card with expired date is rejected,REQ-S5-CC-PAY-004,P1,Regression,On payment step Credit Card selected,Expiry 01/2020,"1. Enter past expiry | 2. Confirm","Error: Expiration date must be in the future. Order not placed."
FunctionalTestCase-PUR-023,Products Purchase Journey,Bank Transfer payment fields validation,REQ-S5-CC-PAY-002,P2,Regression,On payment step,Test Bank / John Doe / 1234567890,"1. Select Bank Transfer | 2. Enter valid data | 3. Confirm","Fields displayed. Valid data completes order."
FunctionalTestCase-PUR-024,Products Purchase Journey,Purchase rental product with duration slider,"REQ-S5-RENT-003, REQ-S5-PD-010, REQ-BR-003",P2,Regression,On rentals page,Duration 3 hours,"1. Open rental | 2. Set 3 hours | 3. Add to cart","Slider shown. Price = rate x 3. Rental in cart."
FunctionalTestCase-PUR-025,Products Purchase Journey,Combination discount for rental and non-rental items,"REQ-S5-COMBO-001, REQ-S5-CC-CART-007, REQ-BR-010",P1,Regression,Empty cart,1 rental + 1 standard product,"1. Add rental and standard product | 2. Review cart","15% discount applied. Subtotal discount and total shown."
FunctionalTestCase-PUR-026,Products Purchase Journey,Combination discount removed when condition not met,"REQ-S5-COMBO-003, REQ-S5-CC-CART-008, REQ-BR-011",P2,Regression,Cart with combo discount,,"1. Remove all rental or all non-rental items","15% discount removed. Total reverts to subtotal."
FunctionalTestCase-PUR-027,Products Purchase Journey,E2E Guest product purchase journey browse to order confirmation,"REQ-S5-PO-002, REQ-S5-PD-008, REQ-S5-CC-CART-005, REQ-S5-CC-SIGNIN-004, REQ-S5-CC-ADDR-003, REQ-S5-CC-PAY-009",P1,E2E,Guest empty cart,customer@ / welcome01 / valid address,"1. Browse and add to cart | 2. Checkout login | 3. Address | 4. Cash on Delivery","Full checkout completes. Invoice number shown. Cart cleared."
FunctionalTestCase-PUR-028,Products Purchase Journey,E2E Browse add multiple items update quantity Cash on Delivery verify invoice,"REQ-S5-PO-001, REQ-S5-PO-002, REQ-S5-PD-008, REQ-S5-CC-CART-001, REQ-S5-CC-CART-002, REQ-S5-CC-CART-005, REQ-S5-CC-PAY-007, REQ-S5-CC-PAY-009, REQ-S5-INV-001, REQ-S5-INV-002",P1,E2E,Logged in as customer empty cart,customer@ / welcome01,"1. Login and browse products | 2. Add 2 different products | 3. Update quantity in cart | 4. Checkout Cash on Delivery | 5. View My Invoices","Multiple items in cart. Quantity updated. Cash on Delivery order confirmed. Invoice visible in My Invoices with correct line items and totals."
FunctionalTestCase-API-AUTH-001,API User Authentication,POST /users/login returns JWT for valid credentials,REQ-API-USR-004,P1,Smoke,Valid customer account exists,customer@ / welcome01,"1. POST /users/login with valid credentials","HTTP 200. Response has access_token token_type bearer expires_in."
FunctionalTestCase-API-AUTH-002,API User Authentication,POST /users/login returns 401 for invalid credentials,REQ-API-USR-004,P1,Regression,None,customer@ / wrongpassword,"1. POST /users/login with wrong password","HTTP 401 Unauthorized. No access_token returned."
FunctionalTestCase-API-AUTH-003,API User Authentication,POST /users/login returns error for invalid request body,REQ-API-USR-004,P1,Regression,None,"{""email"":""invalid""}","1. POST /users/login with malformed body","HTTP 401 or 422. No access_token returned."
FunctionalTestCase-API-AUTH-004,API User Authentication,POST /users/register creates new user,REQ-API-USR-008,P1,Regression,Unique email available,Valid registration JSON unique email/password,"1. POST /users/register with valid body","HTTP 201. Response has id email first_name last_name address."
FunctionalTestCase-API-AUTH-005,API User Authentication,POST /users/register returns 422 for duplicate email,REQ-API-USR-008,P1,Regression,Email already registered,customer@practicesoftwaretesting.com,"1. POST /users/register with existing email","HTTP 422. Validation error for duplicate email."
FunctionalTestCase-API-AUTH-006,API User Authentication,GET /users/me returns profile with valid JWT,REQ-API-USR-006,P1,Regression,Valid JWT from login,Bearer token,"1. Login | 2. GET /users/me with Authorization header","HTTP 200. Profile with id email first_name last_name address."
FunctionalTestCase-API-AUTH-007,API User Authentication,GET /users/me returns 401 without token,REQ-API-USR-006,P1,Regression,No Authorization header,,"1. GET /users/me without token","HTTP 401 Unauthorized."
FunctionalTestCase-API-AUTH-008,API User Authentication,GET /users/refresh returns new token,REQ-API-USR-007,P2,Regression,Valid JWT from login,Bearer token,"1. Login | 2. GET /users/refresh","HTTP 200. Refreshed access_token returned."
FunctionalTestCase-API-AUTH-009,API User Authentication,GET /users/logout invalidates session,REQ-API-USR-005,P2,Regression,Valid JWT from login,Bearer token,"1. Login | 2. GET /users/logout","HTTP 200. Message: Successfully logged out."
FunctionalTestCase-API-AUTH-010,API User Authentication,GET /users/logout returns 401 without token,REQ-API-USR-005,P2,Regression,No Authorization header,,"1. GET /users/logout without token","HTTP 401 Unauthorized."
FunctionalTestCase-API-AUTH-011,API User Authentication,E2E Login get profile logout,"REQ-API-USR-004, REQ-API-USR-006, REQ-API-USR-005",P1,E2E,Valid customer account,customer@ / welcome01,"1. POST /users/login | 2. GET /users/me | 3. GET /users/logout","Login returns JWT. Profile matches email. Logout succeeds."
FunctionalTestCase-API-CART-001,API Cart Creation,POST /carts creates a new cart,REQ-API-CART-001,P1,Smoke,None,Empty JSON body {},"1. POST /carts","HTTP 201. Response contains cart id."
FunctionalTestCase-API-CART-002,API Cart Creation,GET /carts/{cartId} retrieves cart details,REQ-API-CART-003,P1,Regression,Valid cart ID from POST /carts,,"1. POST /carts | 2. GET /carts/{cartId}","HTTP 200. Response has id and cart_items array."
FunctionalTestCase-API-CART-003,API Cart Creation,POST /carts/{id} adds product to cart,REQ-API-CART-006,P1,Regression,Valid cart and product ID,"product_id + quantity 1","1. POST /carts | 2. GET /products | 3. POST /carts/{id} add item","HTTP 200. result: item added or updated."
FunctionalTestCase-API-CART-004,API Cart Creation,PUT /carts/{cartId}/product/quantity updates item quantity,REQ-API-CART-004,P1,Regression,Cart with at least one item,quantity 3,"1. Create cart add item | 2. PUT quantity to 3 | 3. GET cart","HTTP 200. Cart item quantity updated to 3."
FunctionalTestCase-API-CART-005,API Cart Creation,DELETE /carts/{cartId}/product/{productId} removes item,REQ-API-CART-005,P2,Regression,Cart with at least one item,,"1. Create cart add item | 2. DELETE product | 3. GET cart","HTTP 200. Product removed from cart_items."
FunctionalTestCase-API-CART-006,API Cart Creation,DELETE /carts/{cartId} deletes cart,REQ-API-CART-002,P2,Regression,Valid cart ID,,"1. POST /carts | 2. DELETE /carts/{cartId} | 3. GET cart","DELETE HTTP 200. GET returns 404."
FunctionalTestCase-API-CART-007,API Cart Creation,GET /carts/{cartId} returns 404 for non-existent cart,REQ-API-CART-003,P2,Regression,None,Invalid cart ID,"1. GET /carts/nonexistent-id","HTTP 404 Not Found."
FunctionalTestCase-API-CART-008,API Cart Creation,POST /carts/{id} returns 422 for invalid product_id,REQ-API-CART-006,P1,Regression,Valid cart ID,Invalid product_id,"1. POST /carts | 2. POST add item with invalid product_id","HTTP 422 with validation errors."
FunctionalTestCase-API-CART-009,API Cart Creation,E2E Create cart add item verify cart contents,"REQ-API-CART-001, REQ-API-CART-003, REQ-API-CART-006",P1,E2E,Valid product from GET /products,quantity 2,"1. POST /carts | 2. GET /products | 3. POST add item qty 2 | 4. GET cart","Cart created. Item added. GET shows product_id quantity 2 and product details."
FunctionalTestCase-API-E2E-001,API E2E,E2E Register login obtain bearer token create cart,"REQ-API-USR-008, REQ-API-USR-004, REQ-API-USR-006, REQ-API-CART-001",P1,E2E,Unique email available,apitest_<timestamp>@example.com / QaTest@<timestamp>!,"1. POST /users/register | 2. POST /users/login with registered creds | 3. GET /users/me with Bearer token | 4. POST /carts with Bearer token","Register 201. Login returns access_token. /users/me matches email. POST /carts returns cart id. Full flow: register login token create cart."
FunctionalTestCase-API-PRD-001,API Product Selection,GET /products returns paginated product list,REQ-API-PRD-001,P2,Smoke,None,,"1. GET /products","HTTP 200. Paginated data array with id name price in_stock per product."
FunctionalTestCase-API-PRD-002,API Product Selection,GET /products/{productId} returns product details,REQ-API-PRD-007,P2,Smoke,Valid productId from GET /products,,"1. GET /products save id | 2. GET /products/{productId}","HTTP 200. Product id name description price category brand details."
FunctionalTestCase-API-PRD-003,API Product Selection,GET /products/search returns matching products,REQ-API-PRD-004,P2,Regression,None,q=hammer,"1. GET /products/search?q=hammer","HTTP 200. data array contains products matching search term."
FunctionalTestCase-API-PRD-004,API Product Selection,GET /products/{productId}/related returns related products,REQ-API-PRD-010,P3,Regression,Valid productId,,"1. GET /products save id | 2. GET /products/{productId}/related","HTTP 200. List of related products returned."
FunctionalTestCase-API-PRD-005,API Product Selection,GET /products/{productId} returns 404 for invalid ID,REQ-API-PRD-007,P2,Regression,None,nonexistent-product-id-00000,"1. GET /products/nonexistent-product-id-00000","HTTP 404 Not Found."
FunctionalTestCase-API-PRD-006,API Product Selection,Product selection data used for cart add item,"REQ-API-PRD-001, REQ-API-PRD-007, REQ-API-CART-006",P1,Regression,Valid cart ID,in_stock product,"1. GET /products select product | 2. POST /carts/{cartId} add item | 3. GET /carts/{cartId}","Cart line item matches selected product id name and catalog price."
FunctionalTestCase-API-INV-001,API Invoice Generation,GET /invoices returns invoice list for authenticated user,REQ-API-INV-001,P1,Smoke,Valid JWT from customer login,,"1. POST /users/login | 2. GET /invoices with Bearer token","HTTP 200. Paginated data with invoice_number total invoice_date status."
FunctionalTestCase-API-INV-002,API Invoice Generation,GET /invoices returns 401 without token,REQ-API-INV-001,P1,Regression,No Authorization header,,"1. GET /invoices without token","HTTP 401 Unauthorized."
FunctionalTestCase-API-INV-003,API Invoice Generation,POST /payment/check validates Cash on Delivery,REQ-API-PAY-001,P1,Smoke,None,payment_method Cash on Delivery,"1. POST /payment/check","HTTP 200. message Payment was successful."
FunctionalTestCase-API-INV-004,API Invoice Generation,POST /invoices creates invoice for authenticated user,REQ-API-INV-002,P1,Regression,Logged-in customer cart with items,cash-on-delivery billing address,"1. Login | 2. Create cart add product | 3. POST /invoices with Bearer token","HTTP 201. Response has id invoice_number invoice_date subtotal total billing fields."
FunctionalTestCase-API-INV-005,API Invoice Generation,POST /invoices returns 401 without token,REQ-API-INV-002,P1,Regression,Valid cart with items no token,,"1. POST /invoices without JWT","HTTP 401 Unauthorized."
FunctionalTestCase-API-INV-006,API Invoice Generation,POST /invoices returns 422 for invalid payment method,"REQ-API-INV-002, REQ-API-PAY-001",P1,Regression,Valid JWT cart with items,payment_method Cash on Delivery,"1. POST /invoices with UI payment label","HTTP 422. Validation error on payment_method."
FunctionalTestCase-API-INV-007,API Invoice Generation,GET /invoices/{invoiceId} returns invoice detail,REQ-API-INV-006,P1,Regression,Existing invoice ID,,"1. Login | 2. GET /invoices/{invoiceId} with Bearer token","HTTP 200. invoice_number total billing address line items."
FunctionalTestCase-API-INV-008,API Invoice Generation,GET /invoices/{invoice_number}/download-pdf-status returns PDF status,REQ-API-INV-011,P2,Regression,Valid invoice number,,"1. Login | 2. GET /invoices/{invoice_number}/download-pdf-status","HTTP 200. PDF generation status returned."
FunctionalTestCase-API-E2E-002,API E2E,E2E Product selection to invoice generation authenticated,"REQ-API-PRD-001, REQ-API-PRD-007, REQ-API-CART-001, REQ-API-CART-006, REQ-API-PAY-001, REQ-API-INV-002, REQ-API-INV-006",P1,E2E,Customer account,cash-on-delivery,"1. Login | 2. GET /products select product | 3. GET product detail | 4. POST /carts | 5. Add item | 6. POST /payment/check | 7. POST /invoices | 8. GET /invoices | 9. GET /invoices/{id}","Product selected added to cart. Payment check OK. Invoice created with number and totals. Listed and detailed correctly."
FunctionalTestCase-API-E2E-003,API E2E,E2E Multi-product selection to invoice with line items,"REQ-API-PRD-001, REQ-API-CART-006, REQ-API-CART-004, REQ-API-INV-002, REQ-API-INV-006",P1,E2E,Customer logged in 2 in-stock products,,"1. Login | 2. GET /products select 2 | 3. POST /carts | 4-5. Add both products | 6. Update qty | 7. payment check POST invoice | 8. GET invoice detail","Cart has 2 products. Invoice has both line items. Total reflects quantities. Full select cart invoice verify flow."
