requirement_id,sprint,module,requirement_type,user_story,requirement_title,acceptance_criteria,acceptance_source
REQ-S1-CF-002,1,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC2 – Required fields,"Given the contact form is displayed Then the following fields are shown: - First name (required) - Last name (required) - Email (required, must be valid format) - Subject (required, dropdown) - Message (required, minimum 50 characters)",Sprint 1 User Stories — Contact Form — AC2 – Required fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v1.md | Application_Context.md §10
REQ-S1-CF-003,1,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC3 – Subject options,Given the subject dropdown is displayed Then it includes the following options: - Customer service - Webmaster - Return - Payments - Warranty - Status of order,Sprint 1 User Stories — Contact Form — AC3 – Subject options | https://testsmith-io.github.io/practice-software-testing/user-stories/v1.md | Application_Context.md §10
REQ-S1-CF-004,1,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC4 – Message minimum length,Given I enter a message with fewer than 50 characters Then a validation error is shown indicating the message must be at least 50 characters.,Sprint 1 User Stories — Contact Form — AC4 – Message minimum length | https://testsmith-io.github.io/practice-software-testing/user-stories/v1.md | Application_Context.md §10
REQ-S1-CF-005,1,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC5 – Successful submission,Given all required fields are filled in with valid data When I submit the contact form Then a confirmation message is displayed And the form is hidden.,Sprint 1 User Stories — Contact Form — AC5 – Successful submission | https://testsmith-io.github.io/practice-software-testing/user-stories/v1.md | Application_Context.md §10
REQ-S2-PO-001,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC1 – Product grid is displayed,"Given I navigate to the home page Then a grid of product cards is displayed And each card shows a product image, name, and price.",Sprint 2 User Stories — Product Overview — AC1 – Product grid is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-002,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC2 – Navigating to product detail,Given the product overview is displayed When I click on a product card Then I am navigated to the product detail page.,Sprint 2 User Stories — Product Overview — AC2 – Navigating to product detail | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-003,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC3 – Pagination controls displayed,Given there are more products than fit on one page Then pagination controls are displayed below the product grid.,Sprint 2 User Stories — Product Overview — AC3 – Pagination controls displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-004,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC4 – Page navigation,Given pagination controls are displayed When I click a page number Then the product grid updates to show products for that page And the current page number is visually highlighted.,Sprint 2 User Stories — Product Overview — AC4 – Page navigation | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-005,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC5 – Search input is displayed,Given I am on the product overview page Then a search input field is displayed.,Sprint 2 User Stories — Product Overview — AC5 – Search input is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-006,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC6 – Minimum search length,Given I enter fewer than 3 characters in the search field When I submit the search Then the search is not executed and a validation error is shown.,Sprint 2 User Stories — Product Overview — AC6 – Minimum search length | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-007,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC7 – Maximum search length,Given I am entering a search query Then the search input accepts a maximum of 40 characters.,Sprint 2 User Stories — Product Overview — AC7 – Maximum search length | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-008,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC8 – Search results displayed,Given I enter a valid search query (3–40 characters) When I submit the search Then the product grid updates to show only matching products.,Sprint 2 User Stories — Product Overview — AC8 – Search results displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-009,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC9 – Search resets filters,"Given I have active filters (category, brand, sorting) When I submit a search query Then all active filters are reset to their defaults.",Sprint 2 User Stories — Product Overview — AC9 – Search resets filters | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-010,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC10 – Category filter is displayed,Given I am on the product overview page Then a list of category checkboxes is displayed in the sidebar.,Sprint 2 User Stories — Product Overview — AC10 – Category filter is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-011,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC11 – Hierarchical categories,Given the category filter is displayed Then categories are shown in a tree structure with parent and child categories.,Sprint 2 User Stories — Product Overview — AC11 – Hierarchical categories | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-012,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC12 – Selecting a parent category,Given a parent category has child categories When I check the parent category checkbox Then all child category checkboxes are also checked And the product grid updates to show products from all those categories.,Sprint 2 User Stories — Product Overview — AC12 – Selecting a parent category | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-013,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC13 – Deselecting child categories,Given all child categories of a parent are checked When I uncheck all child category checkboxes Then the parent category checkbox is also unchecked.,Sprint 2 User Stories — Product Overview — AC13 – Deselecting child categories | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-014,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC14 – Brand filter is displayed,Given I am on the product overview page Then a list of brand checkboxes is displayed in the sidebar.,Sprint 2 User Stories — Product Overview — AC14 – Brand filter is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-015,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC15 – Selecting a brand,Given the brand filter is displayed When I check one or more brand checkboxes Then the product grid updates to show only products from the selected brands.,Sprint 2 User Stories — Product Overview — AC15 – Selecting a brand | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-016,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC16 – Combining filters,Given I have selected one or more categories When I also select one or more brands Then the product grid shows only products matching both the selected categories and brands.,Sprint 2 User Stories — Product Overview — AC16 – Combining filters | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-017,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC17 – Sort dropdown is displayed,Given I am on the product overview page Then a sorting dropdown is displayed.,Sprint 2 User Stories — Product Overview — AC17 – Sort dropdown is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-018,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC18 – Sort options,Given the sort dropdown is displayed Then it includes the following options: - Name (A - Z) - Name (Z - A) - Price (High - Low) - Price (Low - High),Sprint 2 User Stories — Product Overview — AC18 – Sort options | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PO-019,2,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with the ability to search, filter, and sort, so that I can efficiently find products of interest.",AC19 – Applying a sort,Given I select a sort option Then the product grid reloads with products ordered according to the selected sort.,Sprint 2 User Stories — Product Overview — AC19 – Applying a sort | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PD-001,2,Product Detail,Functional,"As a visitor, I want to view the full details of a product, so that I can learn more about it.",AC1 – Product information shown,Given I am on the product detail page Then the following information is shown: - product image - product name - product description - product price - category badge - brand badge,Sprint 2 User Stories — Product Detail — AC1 – Product information shown | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-PD-002,2,Product Detail,Functional,"As a visitor, I want to view the full details of a product, so that I can learn more about it.",AC2 – Related products,Given the product detail page is displayed Then a section with related products is shown below the main product information And each related product is clickable and navigates to its detail page.,Sprint 2 User Stories — Product Detail — AC2 – Related products | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CAT-001,2,Browse Products by Category,Functional,"As a visitor, I want to browse products within a specific category with filtering, sorting, and pagination, so that I can find specific products within a category.",AC1 – Category page is displayed,Given I click on a category name Then a page with products belonging to that category is displayed And the category name is shown as the page title.,Sprint 2 User Stories — Browse Products by Category — AC1 – Category page is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CAT-002,2,Browse Products by Category,Functional,"As a visitor, I want to browse products within a specific category with filtering, sorting, and pagination, so that I can find specific products within a category.",AC2 – Filters available,Given the category page is displayed Then the same filters as the product overview are available: - category checkboxes (subcategory tree) - brand checkboxes - sorting dropdown - pagination controls,Sprint 2 User Stories — Browse Products by Category — AC2 – Filters available | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CF-001,2,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC1 – Contact form is accessible,Given I navigate to the contact page Then a contact form is displayed.,Sprint 2 User Stories — Contact Form — AC1 – Contact form is accessible | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CF-002,2,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC2 – Required fields,"Given the contact form is displayed Then the following fields are shown: - First name (required) - Last name (required) - Email (required, must be valid format) - Subject (required, dropdown) - Message (required, minimum 50 characters)",Sprint 2 User Stories — Contact Form — AC2 – Required fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CF-003,2,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC3 – Subject options,Given the subject dropdown is displayed Then it includes the following options: - Customer service - Webmaster - Return - Payments - Warranty - Status of order,Sprint 2 User Stories — Contact Form — AC3 – Subject options | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CF-004,2,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC4 – Message minimum length,Given I enter a message with fewer than 50 characters Then a validation error is shown indicating the message must be at least 50 characters.,Sprint 2 User Stories — Contact Form — AC4 – Message minimum length | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S2-CF-005,2,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC5 – Successful submission,Given all required fields are filled in with valid data When I submit the contact form Then a confirmation message is displayed And the form is hidden.,Sprint 2 User Stories — Contact Form — AC5 – Successful submission | https://testsmith-io.github.io/practice-software-testing/user-stories/v2.md | Application_Context.md §10
REQ-S3-PO-001,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC1 – Product grid is displayed,"Given I navigate to the home page Then a grid of product cards is displayed And each card shows a product image, name, and price.",Sprint 3 User Stories — Product Overview — AC1 – Product grid is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PO-002,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC2 – Navigating to product detail,Given the product overview is displayed When I click on a product card Then I am navigated to the product detail page.,Sprint 3 User Stories — Product Overview — AC2 – Navigating to product detail | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PO-003,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC3 – Pagination,Given there are more products than fit on one page Then pagination controls are displayed below the product grid And clicking a page number updates the grid.,Sprint 3 User Stories — Product Overview — AC3 – Pagination | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PO-004,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC4 – Search,Given I enter a valid search query (3–40 characters) and submit Then the product grid updates to show only matching products And all active filters are reset.,Sprint 3 User Stories — Product Overview — AC4 – Search | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PO-005,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC5 – Category filter,Given I check one or more category checkboxes in the sidebar Then the product grid updates to show only products from those categories.,Sprint 3 User Stories — Product Overview — AC5 – Category filter | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PO-006,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC6 – Brand filter,Given I check one or more brand checkboxes in the sidebar Then the product grid updates to show only products from those brands.,Sprint 3 User Stories — Product Overview — AC6 – Brand filter | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PO-007,3,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, and sorting, so that I can efficiently find products of interest.",AC7 – Sorting,"Given I select a sort option (Name A-Z, Name Z-A, Price High-Low, Price Low-High) Then the product grid reloads with products ordered accordingly.",Sprint 3 User Stories — Product Overview — AC7 – Sorting | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-001,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC1 – Product information shown,"Given I am on the product detail page Then the product image, name, description, price, category badge, and brand badge are shown.",Sprint 3 User Stories — Product Detail — AC1 – Product information shown | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-002,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC2 – Quantity selector,Given the product is in stock Then a quantity input field is displayed with plus (+) and minus (-) buttons And the default quantity is 1.,Sprint 3 User Stories — Product Detail — AC2 – Quantity selector | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-003,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC3 – Increase quantity,Given the quantity input is displayed When I click the plus button Then the quantity increases by 1.,Sprint 3 User Stories — Product Detail — AC3 – Increase quantity | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-004,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC4 – Decrease quantity,Given the quantity is greater than 1 When I click the minus button Then the quantity decreases by 1.,Sprint 3 User Stories — Product Detail — AC4 – Decrease quantity | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-005,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC5 – Minimum quantity,Given the quantity is 1 When I click the minus button Then the quantity remains at 1.,Sprint 3 User Stories — Product Detail — AC5 – Minimum quantity | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-006,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC6 – Manual quantity entry,"Given the quantity input is displayed When I type a number directly into the input field Then the quantity is updated to the entered value And the value is clamped between 1 and 999,999,999.",Sprint 3 User Stories — Product Detail — AC6 – Manual quantity entry | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-007,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC7 – Add to cart,"Given a valid quantity is selected When I click the ""Add to Cart"" button Then the product is added to the cart with the selected quantity And a success message ""Product added to shopping cart."" is displayed.",Sprint 3 User Stories — Product Detail — AC7 – Add to cart | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-008,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC8 – Out of stock,"Given the product is not in stock and is not a rental item Then the ""Add to Cart"" button is disabled And ""Out of stock"" is shown in red.",Sprint 3 User Stories — Product Detail — AC8 – Out of stock | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-PD-009,3,Product Detail,Functional,"As a visitor, I want to view a product's details and add it to my shopping cart, so that I can purchase the product.",AC9 – Related products,Given the product detail page is displayed Then related products are shown below the main information.,Sprint 3 User Stories — Product Detail — AC9 – Related products | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-RENT-001,3,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC1 – Rentals page is accessible,Given I navigate to the rentals page Then a list of all rental products is displayed.,Sprint 3 User Stories — Rental Products — AC1 – Rentals page is accessible | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-RENT-002,3,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC2 – Rental product display,"Given the rentals page is displayed Then each rental product shows a product image, name, and description.",Sprint 3 User Stories — Rental Products — AC2 – Rental product display | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-RENT-003,3,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC3 – Rental detail page,Given I click on a rental product Then the product detail page shows a duration slider (1–10 hours) instead of plus/minus buttons And the total price is calculated as the hourly rate multiplied by the selected duration.,Sprint 3 User Stories — Rental Products — AC3 – Rental detail page | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-RENT-004,3,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC4 – Rental label in checkout,"Given a rental item is in my cart Then the item is marked with ""This is a rental item"" in the checkout cart.",Sprint 3 User Stories — Rental Products — AC4 – Rental label in checkout | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-CART-001,3,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC1 – Cart contents displayed,"Given I have items in my cart When I navigate to the checkout page Then a table is displayed with columns: Item, Quantity, Price, Total, and Actions.",Sprint 3 User Stories — Checkout – Cart Review — AC1 – Cart contents displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-CART-002,3,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC2 – Update quantity,Given I change the quantity of a cart item Then the item total and cart total are recalculated And a confirmation message is displayed.,Sprint 3 User Stories — Checkout – Cart Review — AC2 – Update quantity | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-CART-003,3,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC3 – Delete item,Given I click the delete button on a cart item Then the item is removed from the cart And the cart total is recalculated.,Sprint 3 User Stories — Checkout – Cart Review — AC3 – Delete item | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-CART-004,3,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC4 – Empty cart,"Given I have no items in my cart Then the message ""Your shopping cart is empty"" is displayed.",Sprint 3 User Stories — Checkout – Cart Review — AC4 – Empty cart | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-CART-005,3,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC5 – Proceed,"Given the cart contains at least one item When I click ""Proceed"" Then I advance to the next checkout step.",Sprint 3 User Stories — Checkout – Cart Review — AC5 – Proceed | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-ADDR-001,3,Checkout – Billing Address,Functional,"As a customer, I want to enter my billing address, so that my invoice contains the correct address.",AC1 – Address form fields,Given I am on the billing address step Then the following required fields are displayed: - Street (max 70 characters) - City (max 40 characters) - State (max 40 characters) - Country (max 40 characters) - Postal code (max 10 characters),Sprint 3 User Stories — Checkout – Billing Address — AC1 – Address form fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-ADDR-002,3,Checkout – Billing Address,Functional,"As a customer, I want to enter my billing address, so that my invoice contains the correct address.",AC2 – Validation,"Given I leave a required field empty Then the field is highlighted as invalid And the ""Proceed"" button is disabled.",Sprint 3 User Stories — Checkout – Billing Address — AC2 – Validation | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-ADDR-003,3,Checkout – Billing Address,Functional,"As a customer, I want to enter my billing address, so that my invoice contains the correct address.",AC3 – Proceed to payment,"Given all address fields are filled in When I click ""Proceed"" Then I advance to the payment step.",Sprint 3 User Stories — Checkout – Billing Address — AC3 – Proceed to payment | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-PAY-001,3,Checkout – Payment (Basic),Functional,"As a customer, I want to select a payment method and provide basic payment details, so that I can complete my purchase.",AC1 – Payment method selection,Given I am on the payment step Then a dropdown is displayed with options: - Bank Transfer - Cash on Delivery - Credit Card - Buy Now Pay Later - Gift Card,Sprint 3 User Stories — Checkout – Payment (Basic) — AC1 – Payment method selection | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
REQ-S3-CC-PAY-002,3,Checkout – Payment (Basic),Functional,"As a customer, I want to select a payment method and provide basic payment details, so that I can complete my purchase.",AC2 – Payment fields,Given I select a payment method Then account name and account number fields are displayed.,Sprint 3 User Stories — Checkout – Payment (Basic) — AC2 – Payment fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v3.md | Application_Context.md §10
